installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2,ln_emissions,inst_num,firm_num,treated,post_2009,post_2010,post_2011,post_2012,post_2013,post_2014,post_2015,post_2016,post_2017,post,post_treated,post_2009_treated,post_2010_treated,post_2011_treated,post_2012_treated,post_2013_treated,post_2014_treated,post_2015_treated,post_2016_treated,post_2017_treated,fuel_type,gas,coal,one_inst_firm,coal_one_inst_firm,gas_one_inst_firm,coal_multi_inst,gas_multi_inst,final_electricity_consumption,RE,GDP,net_exports,Coal_EUR_MWh,Gas_EUR_MWh,EUA_price,ln_final_electricity_consumption,ln_RE,ln_GDP,net_ac_ext_inst,net_ac_tot_inst,annual_change_bank_inst,bank_inst,annual_change_bank_inst_1000,net_ac_ext_inst_1000
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2011,933401,570442,35.11,13.25416677791005,551,80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,1,0,1,0,0,62132.291,44409.141,304545.1,-8.19936,13.23881,22.179193,13.058799,11.037021116673731,10.70120060560865,12.626574466823097,5592,5592,368551,2136113,368.551,5.592
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2012,933401,515962,35.11,13.153788398341037,551,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,1,0,1,0,0,62952.105,55103.88,306617.4,-2.8029660000000005,11.098114,25.154446,7.3978295,11.050129478150904,10.916975410084683,12.633355995277258,-545819,-435851,-951813,1184300,-951.813,-545.819
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2013,171412,362332,35.11,12.80031619757566,551,80,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,1,0,1,0,0,63546.708,54171.606,306695.6,-7.270453999999998,9.4058161,27.330641,4.4753876,11.059530473544923,10.899912175618782,12.633611003732724,64000,-69000,-106523,1077777,-106.523,64
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2014,153397,379018,35.11,12.845338976340482,551,80,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,1,0,1,0,0,62557.42,53803.531,308723.7,-9.274725000000002,8.6029577,21.172882,5.9741473,11.043840133959577,10.893094375966452,12.64020198110988,-513000,-531315,-774439,303338,-774.439,-513
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2015,135894,439413,35.11,12.993195024293811,551,80,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,1,0,1,0,0,63482.625,50803.337,311855.7,-10.061516,7.7217555,20.061985,7.6906977,11.058521525392196,10.835717320385525,12.650295859805507,1353000,192202,-128267,175071,-128.267,1353
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2016,118944,534586,35.11,13.189247894540083,551,80,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,1,0,1,0,0,64427.642,53959.019,318350.4,-7.159271,8.1366539,14.393778,5.3516278,11.07329804360483,10.895980130023,12.670907941923101,325000,387000,-45060,130011,-45.06,325
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2017,102526,409794,35.11,12.923409873391318,551,80,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,1,0,1,0,0,65286.469,54735.94,326234.2,-6.545915000000001,11.171968,17.538269,5.8331394,11.086540080929264,10.910275811046075,12.695370807327539,1408000,287000,-36152,93859,-36.152,1408
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2009,734102,1038959,35.11,13.853729808282546,624,368,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,coal,0,1,1,1,0,0,0,59201.268,49949.919,290558.8,-0.7801859999999978,7.5909157,11.825696,13.213984,10.988698239561634,10.818776162453764,12.57956124443059,10000,10000,-294857,254697,-294.857,10
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2010,734102,1115073,35.11,13.924430431585252,624,368,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,coal,0,1,1,1,0,0,0,62071.793,48174.578,295896.6,-2.4366229999999995,10.548177,16.942703,14.380888,11.036046945731261,10.78258673351405,12.597765347953919,150000,450000,69029,323726,69.029,150
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2011,734102,1143992,35.11,13.950034457890435,624,368,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,coal,0,1,1,1,0,0,0,62132.291,44409.141,304545.1,-8.19936,13.23881,22.179193,13.058799,11.037021116673731,10.70120060560865,12.626574466823097,53930,153930,-255960,67766,-255.96,53.93
