installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2017,48552,171771,35.30
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2009,61991,56009,35.30
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2010,61991,53194,35.30
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2011,61991,41109,35.30
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2012,61991,43014,35.30
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2013,32492,38286,35.30
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2014,28393,39473,35.30
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2015,25154,39411,35.30
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2016,22016,39367,35.30
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2017,18977,39436,35.30
34,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW West Salzburg,2009,NA,NA,35.30
34,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW West Salzburg,2010,NA,NA,35.30
34,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW West Salzburg,2011,NA,NA,35.30
34,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW West Salzburg,2012,NA,NA,35.30
34,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW West Salzburg,2013,NA,NA,35.30
34,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW West Salzburg,2014,NA,NA,35.30
34,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW West Salzburg,2015,NA,NA,35.30
34,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW West Salzburg,2016,NA,NA,35.30
34,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW West Salzburg,2017,NA,NA,35.30
35,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG HW Süd Salzburg,2009,411,0,35.11
35,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG HW Süd Salzburg,2010,411,0,35.11
35,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG HW Süd Salzburg,2011,411,0,35.11
35,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG HW Süd Salzburg,2012,411,0,35.11
35,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG HW Süd Salzburg,2013,NA,NA,35.11
35,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG HW Süd Salzburg,2014,NA,NA,35.11
35,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG HW Süd Salzburg,2015,NA,NA,35.11
35,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG HW Süd Salzburg,2016,NA,NA,35.11
35,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG HW Süd Salzburg,2017,NA,NA,35.11
36,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG LKH Salzburg,2009,7684,7904,35.30
36,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG LKH Salzburg,2010,7684,8564,35.30
36,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG LKH Salzburg,2011,7684,6404,35.30
36,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG LKH Salzburg,2012,7684,946,35.30
36,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG LKH Salzburg,2013,NA,NA,35.30
36,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG LKH Salzburg,2014,NA,NA,35.30
36,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG LKH Salzburg,2015,NA,NA,35.30
36,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG LKH Salzburg,2016,NA,NA,35.30
36,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG LKH Salzburg,2017,NA,NA,35.30
90,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,AT,Stadtwärme Lienz,2009,2017,735,35.30
90,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,AT,Stadtwärme Lienz,2010,2017,1490,35.30
90,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,AT,Stadtwärme Lienz,2011,2017,653,35.30
90,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,AT,Stadtwärme Lienz,2012,2017,394,35.30
90,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,AT,Stadtwärme Lienz,2013,13370,483,35.30
90,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,AT,Stadtwärme Lienz,2014,11965,135,35.30
90,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,AT,Stadtwärme Lienz,2015,10600,251,35.30
90,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,AT,Stadtwärme Lienz,2016,9278,165,35.30
90,Stadtwärme Lienz Produktions- und Vertriebs-GmbH,AT,Stadtwärme Lienz,2017,7997,404,35.30
38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt,2009,151139,129275,35.30
38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt,2010,151139,138716,35.30
38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt,2011,151139,114492,35.30
38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt,2012,151139,92952,35.30
38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt,2013,79747,87581,35.30
38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt,2014,66637,71758,35.30
38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt,2015,55309,74576,35.30
38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt,2016,48411,64485,35.30
38,Stadtwerke Klagenfurt AG,AT,FHKW Klagenfurt Stadtwerke Klagenfurt,2017,41728,45330,35.30
39,Energie Klagenfurt GmbH,AT,Stw Heizwerk Süd Klagenfurt,2009,719,521,35.30
39,Energie Klagenfurt GmbH,AT,Stw Heizwerk Süd Klagenfurt,2010,719,431,35.30
39,Energie Klagenfurt GmbH,AT,Stw Heizwerk Süd Klagenfurt,2011,719,2885,35.30
39,Energie Klagenfurt GmbH,AT,Stw Heizwerk Süd Klagenfurt,2012,719,1696,35.30
39,Energie Klagenfurt GmbH,AT,Stw Heizwerk Süd Klagenfurt,2013,242,102,35.30
39,Energie Klagenfurt GmbH,AT,Stw Heizwerk Süd Klagenfurt,2014,109,664,35.30
39,Energie Klagenfurt GmbH,AT,Stw Heizwerk Süd Klagenfurt,2015,192,502,35.30
39,Energie Klagenfurt GmbH,AT,Stw Heizwerk Süd Klagenfurt,2016,168,2,35.30
39,Energie Klagenfurt GmbH,AT,Stw Heizwerk Süd Klagenfurt,2017,0,270,35.30
89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein,2009,6252,4934,35.30
89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein,2010,6252,2179,35.30
89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein,2011,6252,1261,35.30
89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein,2012,6252,2008,35.30
89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein,2013,13775,1637,35.30
89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein,2014,12328,4020,35.30
89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein,2015,10921,733,35.30
89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein,2016,9559,739,35.30
89,Bioenergie Kufstein GmbH,AT,Stadtwerke Kufstein,2017,8240,1314,35.30
