installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2,ln_emissions,inst_num,firm_num,treated,post_2009,post_2010,post_2011,post_2012,post_2013,post_2014,post_2015,post_2016,post_2017,post,post_treated,post_2009_treated,post_2010_treated,post_2011_treated,post_2012_treated,post_2013_treated,post_2014_treated,post_2015_treated,post_2016_treated,post_2017_treated,fuel_type,gas,coal,one_inst_firm,coal_one_inst_firm,gas_one_inst_firm,coal_multi_inst,gas_multi_inst
134,EVN AG,AT,EVN KW Theiß Gedersdorf,2009,449521,393438,35.11,12.882678774069877,791,459,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
134,EVN AG,AT,EVN KW Theiß Gedersdorf,2010,449521,346205,35.11,12.75478636413873,791,459,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
134,EVN AG,AT,EVN KW Theiß Gedersdorf,2011,449521,62103,35.11,11.036549575933464,791,459,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
134,EVN AG,AT,EVN KW Theiß Gedersdorf,2012,449521,59924,35.11,11.000832371637273,791,459,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1
134,EVN AG,AT,EVN KW Theiß Gedersdorf,2013,21344,32664,35.11,10.394028832999412,791,459,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1
134,EVN AG,AT,EVN KW Theiß Gedersdorf,2014,19101,41415,35.11,10.631398413032365,791,459,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1
134,EVN AG,AT,EVN KW Theiß Gedersdorf,2015,16921,179697,35.11,12.099027378141479,791,459,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1
134,EVN AG,AT,EVN KW Theiß Gedersdorf,2016,14810,320400,35.11,12.67732549417634,791,459,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1
134,EVN AG,AT,EVN KW Theiß Gedersdorf,2017,12767,493222,35.11,13.108714655927926,791,459,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1
135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf,2009,901136,751680,35.11,13.530065980452685,796,459,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,coal,0,1,0,0,0,1,0
135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf,2010,901136,888005,35.11,13.696732652589086,796,459,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,coal,0,1,0,0,0,1,0
135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf,2011,901136,1277502,35.11,14.060417166616501,796,459,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,coal,0,1,0,0,0,1,0
135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf,2012,901136,984354,35.11,13.799740867435244,796,459,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,coal,0,1,0,0,0,1,0
135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf,2013,67063,1014168,35.11,13.829579129883145,796,459,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,coal,0,1,0,0,0,1,0
135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf,2014,64296,437437,35.11,12.98868797441081,796,459,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,coal,0,1,0,0,0,1,0
135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf,2015,61581,654490,35.11,13.39161158537656,796,459,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,coal,0,1,0,0,0,1,0
135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf,2016,58927,643395,35.11,13.374514122541449,796,459,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,coal,0,1,0,0,0,1,0
135,EVN AG,AT,EVN KW Dürnrohr Zwentendorf,2017,56330,565981,35.11,13.246315787717277,796,459,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,coal,0,1,0,0,0,1,0
148,Wels Strom GmbH,AT,FHKW WelsStrom Wels,2009,74703,66998,35.11,11.112418047181292,848,498,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,1,0,1,0,0
148,Wels Strom GmbH,AT,FHKW WelsStrom Wels,2010,74703,63594,35.11,11.06027440525531,848,498,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,1,0,1,0,0
148,Wels Strom GmbH,AT,FHKW WelsStrom Wels,2011,74703,38919,35.11,10.569237842239122,848,498,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,1,0,1,0,0
148,Wels Strom GmbH,AT,FHKW WelsStrom Wels,2012,74703,33922,35.11,10.431819050431784,848,498,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,1,0,1,0,0
148,Wels Strom GmbH,AT,FHKW WelsStrom Wels,2013,15189,36724,35.11,10.511185771263591,848,498,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,1,0,1,0,0
148,Wels Strom GmbH,AT,FHKW WelsStrom Wels,2014,13593,23565,35.11,10.067517839357832,848,498,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,1,0,1,0,0
148,Wels Strom GmbH,AT,FHKW WelsStrom Wels,2015,12042,20970,35.11,9.950848123895966,848,498,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,1,0,1,0,0
148,Wels Strom GmbH,AT,FHKW WelsStrom Wels,2016,10540,16825,35.11,9.730621154512928,848,498,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,1,0,1,0,0
148,Wels Strom GmbH,AT,FHKW WelsStrom Wels,2017,9086,18268,35.11,9.81290617430489,848,498,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,1,0,1,0,0
69,Electrabel,BE,Electrabel - Centrale Drogenbos,2009,990397,1074332,35.11,13.887209631048956,436,267,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
69,Electrabel,BE,Electrabel - Centrale Drogenbos,2010,990397,1029095,35.11,13.844190333198057,436,267,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
69,Electrabel,BE,Electrabel - Centrale Drogenbos,2011,990398,707802,35.11,13.469919672546473,436,267,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
69,Electrabel,BE,Electrabel - Centrale Drogenbos,2012,990398,429169,35.11,12.969606059730342,436,267,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1
69,Electrabel,BE,Electrabel - Centrale Drogenbos,2013,0,320545,35.11,12.67777795110314,436,267,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1
69,Electrabel,BE,Electrabel - Centrale Drogenbos,2014,0,157606,35.11,11.967853526747222,436,267,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1
69,Electrabel,BE,Electrabel - Centrale Drogenbos,2015,0,329818,35.11,12.706296266150726,436,267,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1
69,Electrabel,BE,Electrabel - Centrale Drogenbos,2016,0,186152,35.11,12.134318823266783,436,267,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1
69,Electrabel,BE,Electrabel - Centrale Drogenbos,2017,0,196658,35.11,12.189221458446168,436,267,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1
